entryId	lemma	partOfSpeech
oewn-mango_tree-n	mango tree	n
oewn-mango-n		
oewn-mangold-n	mangold	n
oewn-mangold-wurzel-n	mangold-wurzel	n
oewn-mangonel-n	mangonel	n
oewn-mangosteen_tree-n	mangosteen tree	n
oewn-mangosteen-n		
oewn-mangrove_snapper-n	mangrove snapper	n
oewn-mangrove-n		
oewn-mangy-a		
oewn-manhandle-v	manhandle	v
oewn-Manhattan_clam_chowder-n	Manhattan clam chowder	n
oewn-Manhattan_Project-n	Manhattan Project	n
oewn-manhattan-n		
oewn-manhole_cover-n	manhole cover	n
oewn-manhole-n		
oewn-manhood-n		
oewn-manhunt-n	manhunt	n
oewn-mania-n		
oewn-maniac-a		
oewn-maniac-n		
oewn-maniacal-a		
oewn-maniacally-r	maniacally	r
oewn-manic_depression-n	manic depression	n
oewn-manic_depressive_illness-n	manic depressive illness	n
oewn-manic_disorder-n	manic disorder	n
oewn-manic-a		
oewn-manic-depressive_psychosis-n	manic-depressive psychosis	n
oewn-manic-depressive-a	manic-depressive	a
oewn-manic-depressive-n	manic-depressive	n
oewn-Manichaean-a		
oewn-Manichaean-n		
oewn-Manichaeanism-n	Manichaeanism	n
oewn-Manichaeism-n	Manichaeism	n
oewn-Manichean-a	Manichean	a
oewn-Manichean-n	Manichean	n
oewn-Manichee-a	Manichee	a
oewn-Manichee-n	Manichee	n
oewn-maniclike-a	maniclike	a
oewn-manicotti-n		
oewn-manicure_set-n	manicure set	n
oewn-manicure-n		
oewn-manicure-v		
oewn-manicurist-n	manicurist	n
oewn-manifest_destiny-n	manifest destiny	n
oewn-manifest-a		
oewn-manifest-n		
oewn-manifest-v		
oewn-manifestation-n		
oewn-manifestly-r		
oewn-manifesto-n		
oewn-manifold_paper-n	manifold paper	n
oewn-manifold-a	manifold	a
oewn-manifold-n	manifold	n
oewn-manifold-v	manifold	v
oewn-Manihot_dulcis-n	Manihot dulcis	n
oewn-Manihot_esculenta-n	Manihot esculenta	n
oewn-Manihot_utilissima-n	Manihot utilissima	n
oewn-manikin-n		
oewn-Manila_bean-n	Manila bean	n
oewn-Manila_grass-n	Manila grass	n
oewn-Manila_hemp-n	Manila hemp	n
oewn-manila_maguey-n	manila maguey	n
oewn-manila_paper-n	manila paper	n
oewn-manila_tamarind-n	manila tamarind	n
oewn-manila-n		
oewn-Manilkara_bidentata-n	Manilkara bidentata	n
oewn-Manilkara_zapota-n	Manilkara zapota	n
oewn-Manilla_hemp-n	Manilla hemp	n
oewn-manilla_paper-n	manilla paper	n
oewn-manilla-n	manilla	n
oewn-manioc-n		
oewn-manioca-n	manioca	n
oewn-manipulability-n	manipulability	n
oewn-manipulable-a		
oewn-manipulate-v		
oewn-manipulation-n		
oewn-manipulative_electronic_deception-n	manipulative electronic deception	n
oewn-manipulative-a		
oewn-manipulatively-r	manipulatively	r
oewn-manipulativeness-n	manipulativeness	n
oewn-manipulator-n	manipulator	n
oewn-Manipuri_language-n	Manipuri language	n
oewn-Manipuri-n	Manipuri	n
oewn-maniraptor-n	maniraptor	n
oewn-mankind-n		
oewn-manky-a		
oewn-manlike-a		
oewn-manliness-n	manliness	n
oewn-manly-a		
oewn-manly-r	manly	r
oewn-manna_ash-n	manna ash	n
oewn-manna_from_heaven-n	manna from heaven	n
oewn-manna_grass-n	manna grass	n
oewn-manna_gum-n	manna gum	n
oewn-manna_lichen-n	manna lichen	n
oewn-manna-n		
oewn-manned-a		
oewn-mannequin-n		
oewn-manner_adverbial-n	manner adverbial	n
oewn-manner_name-n	manner name	n
oewn-manner_of_speaking-n	manner of speaking	n
oewn-manner_of_walking-n	manner of walking	n
oewn-manner-n		
oewn-mannered-a	mannered	a
oewn-mannerism-n	mannerism	n
oewn-Mannerism-n	Mannerism	n
oewn-mannerly-a		
oewn-manners-n		
oewn-mannikin-n	mannikin	n
oewn-mannish-a		
oewn-mannitol-n	mannitol	n
oewn-manoeuver-v	manoeuver	v
oewn-manoeuvrability-n	manoeuvrability	n
oewn-manoeuvrable-a	manoeuvrable	a
oewn-manoeuvre-n		
oewn-manoeuvre-v		
oewn-manoeuvrer-n	manoeuvrer	n
oewn-manometer-n		
oewn-manor_hall-n	manor hall	n
oewn-manor_house-n	manor house	n
oewn-manor-n		
oewn-manorial-a	manorial	a
oewn-MANPAD-n	MANPAD	n
oewn-manpower-n	manpower	n
oewn-manque-a		
oewn-manroot-n	manroot	n
oewn-mansard_roof-n	mansard roof	n
oewn-mansard-a	mansard	a
oewn-mansard-n	mansard	n
oewn-manse-n	manse	n
oewn-manservant-n		
oewn-Mansi_language-n	Mansi language	n
oewn-Mansi-n		
oewn-mansion_house-n	mansion house	n
oewn-mansion-n		
oewn-manslaughter-n	manslaughter	n
oewn-manslayer-n	manslayer	n
oewn-Manta_birostris-n	Manta birostris	n
oewn-manta_ray-n		
oewn-manta-n	manta	n
oewn-mantel-n		
oewn-mantelet-n		
oewn-mantelpiece-n		
oewn-mantic-a		
oewn-mantichora-n	mantichora	n
oewn-manticora-n	manticora	n
oewn-manticore-n		
oewn-mantid-n	mantid	n
oewn-mantiger-n	mantiger	n
oewn-mantilla-n		
oewn-mantis_crab-n	mantis crab	n
oewn-mantis_prawn-n	mantis prawn	n
oewn-Mantis_religiosa-n	Mantis religiosa	n
oewn-Mantis_religioso-n	Mantis religioso	n
oewn-mantis_shrimp-n	mantis shrimp	n
oewn-mantis-n	mantis	n
oewn-mantispid-n	mantispid	n
oewn-mantissa-n	mantissa	n
oewn-mantle-n		
oewn-mantle-v		
oewn-mantled_ground_squirrel-n	mantled ground squirrel	n
oewn-mantled-a	mantled	a
oewn-mantlepiece-n	mantlepiece	n
oewn-mantlet-n		
oewn-Mantoux_test-n	Mantoux test	n
oewn-mantra-n		
oewn-mantrap-n	mantrap	n
oewn-mantua-n	mantua	n
oewn-manual_alphabet-n	manual alphabet	n
oewn-manual_dexterity-n	manual dexterity	n
oewn-manual_labor-n	manual labor	n
oewn-manual_laborer-n	manual laborer	n
oewn-manual_labour-n	manual labour	n
oewn-manual_of_arms-n	manual of arms	n
oewn-manual-a	manual	a
oewn-manual-n	manual	n
oewn-manually-r	manually	r
oewn-manubrium-n	manubrium	n
oewn-manufactory-n		
oewn-manufacture-n		
oewn-manufacture-v		
oewn-manufactured_home-n	manufactured home	n
oewn-manufactured-a		
oewn-manufacturer-n		
oewn-manufacturing_business-n	manufacturing business	n
oewn-manufacturing_plant-n	manufacturing plant	n
oewn-manufacturing-n		
oewn-manul-n	manul	n
oewn-manumission-n		
oewn-manumit-v		
oewn-manumitter-n	manumitter	n
oewn-manure-n		
oewn-manure-v		
oewn-manus-n	manus	n
oewn-manuscript-n		
oewn-Manx_cat-n		
oewn-Manx_language-n	Manx language	n
oewn-Manx_shearwater-n	Manx shearwater	n
oewn-Manx-a		
oewn-Manx-n		
oewn-many_a-a	many a	a
oewn-many_an-a	many an	a
oewn-many_another-a	many another	a
oewn-many-a		
oewn-many-chambered-a	many-chambered	a
oewn-many-lobed-a	many-lobed	a
oewn-many-sided-a	many-sided	a
oewn-Manzanilla-n	Manzanilla	n
oewn-manzanita-n	manzanita	n
oewn-Mao_jacket-n	Mao jacket	n
oewn-MAO-n	MAO	n
oewn-MAOI-n	MAOI	n
oewn-Maoism-n		
oewn-Maoist-a	Maoist	a
oewn-Maoist-n	Maoist	n
oewn-maori_hen-n	maori hen	n
oewn-Maori_language-n	Maori language	n
oewn-Maori-n		
oewn-map_collection-n	map collection	n
oewn-map_maker-n	map maker	n
oewn-map_out-v	map out	v
oewn-map_projection-n	map projection	n
oewn-map-n		
oewn-map-reader-n	map-reader	n
oewn-map-v		
oewn-mapinguari-n	mapinguari	n
oewn-maple_sugar-n	maple sugar	n
oewn-maple_syrup_urine_disease-n	maple syrup urine disease	n
oewn-maple_syrup-n	maple syrup	n
oewn-maple-leaf_begonia-n	maple-leaf begonia	n
oewn-maple-leaf-n	maple-leaf	n
oewn-maple-leaved_bayur-n	maple-leaved bayur	n
oewn-maple-like-a	maple-like	a
oewn-maple-n		
oewn-maplelike-a	maplelike	a
oewn-mapmaking-n	mapmaking	n
oewn-mapper-n	mapper	n
oewn-mapping-n		
oewn-mapquest-v	mapquest	v
oewn-maquiladora-n	maquiladora	n
oewn-Maquis-n		
oewn-Maquisard-n		
oewn-mar-n	mar	n
oewn-Mar-n	Mar	n
oewn-mar-v	mar	v
oewn-mara-n	mara	n
oewn-marabou_stork-n	marabou stork	n
oewn-marabou-n		
oewn-marabout-n		
oewn-maraca-n		
oewn-marang_tree-n	marang tree	n
oewn-marang-n	marang	n
oewn-Maranta_arundinaceae-n	Maranta arundinaceae	n
oewn-maranta-n	maranta	n
oewn-marasca_cherry-n	marasca cherry	n
oewn-marasca-n	marasca	n
oewn-maraschino_cherry-n	maraschino cherry	n
oewn-maraschino_liqueur-n	maraschino liqueur	n
oewn-maraschino-n		
oewn-Marasmius_oreades-n	Marasmius oreades	n
oewn-marasmus-n		
oewn-Maratha-n	Maratha	n
oewn-Marathi_language-n	Marathi language	n
oewn-Marathi-n		
oewn-marathon_runner-n	marathon runner	n
oewn-marathon-n		
oewn-marathoner-n		
oewn-Marattia_salicina-n	Marattia salicina	n
oewn-maraud-n	maraud	n
oewn-maraud-v		
oewn-marauder-n		
oewn-marauding-a	marauding	a
oewn-marauding-n	marauding	n
oewn-maravilla-n	maravilla	n
oewn-marble_bones_disease-n	marble bones disease	n
oewn-marble_cake-n	marble cake	n
oewn-marble-n		
oewn-marble-v		
oewn-marble-wood-n	marble-wood	n
oewn-marbled-a	marbled	a
oewn-marbleisation-n	marbleisation	n
oewn-marbleise-v	marbleise	v
oewn-marbleised-a	marbleised	a
oewn-marbleising-n	marbleising	n
oewn-marbleization-n	marbleization	n
oewn-marbleize-v	marbleize	v
oewn-marbleized-a	marbleized	a
oewn-marbleizing-n	marbleizing	n
oewn-marbles-n	marbles	n
oewn-marblewood-n	marblewood	n
oewn-marbling-n	marbling	n
oewn-Marburg_disease-n	Marburg disease	n
oewn-Marburg_hemorrhagic_fever-n	Marburg hemorrhagic fever	n
oewn-Marburg_virus-n	Marburg virus	n
oewn-marc-n	marc	n
oewn-marcel-n		
oewn-marcel-v		
oewn-March_17-n	March 17	n
oewn-March_19-n	March 19	n
oewn-March_2-n	March 2	n
oewn-March_25-n	March 25	n
oewn-March_equinox-n	March equinox	n
oewn-march_on-v	march on	v
oewn-march_out-v	march out	v
oewn-march-n	march	n
oewn-March-n	March	n
oewn-MArch-n	MArch	n
oewn-march-v	march	v
oewn-marchand_de_vin-n		
oewn-Marchantia_polymorpha-n	Marchantia polymorpha	n
oewn-marched_upon-a	marched upon	a
oewn-marcher-n	marcher	n
oewn-marching_band-n	marching band	n
oewn-marching_music-n	marching music	n
oewn-marching_order-n	marching order	n
oewn-marching_orders-n		
oewn-marching-n		
oewn-marchioness-n		
oewn-marchland-n		
oewn-marchpane-n		
oewn-Marcionism-n		
oewn-Marco_Polo_sheep-n	Marco Polo sheep	n
oewn-Marco_Polo-ap-s_sheep-n	Marco Polo's sheep	n
oewn-Marconi_rig-n	Marconi rig	n
oewn-Mardi_Gras-n	Mardi Gras	n
oewn-mare_clausum-n	mare clausum	n
oewn-mare_liberum-n	mare liberum	n
oewn-mare-ap-s_nest-n		
oewn-mare-ap-s_tail-n	mare's tail	n
oewn-mare-n-1		
oewn-mare-n-2		
oewn-Mareca_americana-n	Mareca americana	n
oewn-Mareca_penelope-n	Mareca penelope	n
oewn-Marfan-ap-s_syndrome-n	Marfan's syndrome	n
oewn-margaric_acid-n	margaric acid	n
oewn-margarin-n	margarin	n
oewn-margarine-n		
oewn-margarita-n		
oewn-Margasivsa-n	Margasivsa	n
oewn-margate-n	margate	n
oewn-margay_cat-n	margay cat	n
oewn-margay-n	margay	n
oewn-marge-n	marge	n
oewn-margin_account-n	margin account	n
oewn-margin_call-n	margin call	n
oewn-margin_of_error-n	margin of error	n
oewn-margin_of_profit-n	margin of profit	n
oewn-margin_of_safety-n	margin of safety	n
oewn-margin-n		
oewn-marginal_cost-n	marginal cost	n
oewn-marginal_placentation-n	marginal placentation	n
oewn-marginal_utility-n	marginal utility	n
oewn-marginal_wood_fern-n	marginal wood fern	n
oewn-marginal-a		
oewn-marginalia-n		
oewn-marginalisation-n		
oewn-marginalise-v	marginalise	v
oewn-marginality-n	marginality	n
oewn-marginalization-n	marginalization	n
oewn-marginalize-v	marginalize	v
oewn-marginally-r		
oewn-margosa-n	margosa	n
oewn-margrave-n		
oewn-marguerite_daisy-n	marguerite daisy	n
oewn-marguerite-n		
oewn-Mari_language-n	Mari language	n
oewn-Mari-n	Mari	n
oewn-maria-n		
oewn-Maria-n		
oewn-mariachi-n		
oewn-Marian-a		
oewn-Maricopa_language-n	Maricopa language	n
oewn-Maricopa-n	Maricopa	n
oewn-Marie-Strumpell_disease-n	Marie-Strumpell disease	n
oewn-marigold-n		
oewn-marihuana-n	marihuana	n
oewn-marijuana_cigarette-n	marijuana cigarette	n
oewn-marijuana-n		
oewn-marimba-n		
oewn-marina-n		
oewn-marinade-n		
oewn-marinade-v		
oewn-marinara-n	marinara	n
oewn-marinate-v	marinate	v
oewn-marine_animal-n	marine animal	n
oewn-marine_archaeology-n	marine archaeology	n
oewn-marine_archeology-n	marine archeology	n
oewn-marine_benthos-n	marine benthos	n
oewn-Marine_Corps_Intelligence_Activity-n	Marine Corps Intelligence Activity	n
oewn-Marine_Corps-n	Marine Corps	n
oewn-marine_creature-n	marine creature	n
oewn-marine_engineer-n	marine engineer	n
oewn-marine_glue-n	marine glue	n
oewn-marine_iguana-n	marine iguana	n
oewn-marine_law-n	marine law	n
oewn-marine_mine-n	marine mine	n
oewn-marine_museum-n	marine museum	n
oewn-marine_mussel-n	marine mussel	n
oewn-marine_turtle-n	marine turtle	n
oewn-marine-a		
oewn-marine-n		
oewn-mariner-ap-s_compass-n	mariner's compass	n
oewn-mariner-n		
oewn-marines-n	marines	n
oewn-Marines-n	Marines	n
oewn-marionette-n	marionette	n
oewn-Mariotte-ap-s_law-n	Mariotte's law	n
oewn-mariposa_lily-n	mariposa lily	n
oewn-mariposa_tulip-n	mariposa tulip	n
oewn-mariposa-n	mariposa	n
oewn-Mariposan_language-n	Mariposan language	n
oewn-Mariposan-n	Mariposan	n
oewn-marital_bed-n	marital bed	n
oewn-marital_communications_privilege-n	marital communications privilege	n
oewn-marital_relationship-n	marital relationship	n
oewn-marital_status-n	marital status	n
oewn-marital-a		
oewn-mariticide-n	mariticide	n
oewn-maritime_law-n	maritime law	n
oewn-maritime-a		
oewn-marjoram-n		
oewn-mark_down-v	mark down	v
oewn-mark_of_Cain-n	mark of Cain	n
oewn-mark_off-v	mark off	v
oewn-mark_out-v	mark out	v
oewn-mark_up-v	mark up	v
oewn-mark-n		
oewn-mark-v	mark	v
oewn-marked-a		
oewn-marked-up-a	marked-up	a
oewn-markedly-r		
oewn-marker-n		
oewn-market_analysis-n	market analysis	n
oewn-market_analyst-n	market analyst	n
oewn-market_capitalisation-n	market capitalisation	n
oewn-market_capitalization-n	market capitalization	n
oewn-market_cross-n	market cross	n
oewn-market_day-n	market day	n
oewn-market_economy-n	market economy	n
oewn-market_forces-n	market forces	n
oewn-market_garden-n	market garden	n
oewn-market_gardening-n	market gardening	n
oewn-market_keeper-n	market keeper	n
oewn-market_letter-n	market letter	n
oewn-market_order-n	market order	n
oewn-market_penetration-n	market penetration	n
oewn-market_place-n	market place	n
oewn-market_price-n	market price	n
oewn-market_research-n	market research	n
oewn-market_square-n	market square	n
oewn-market_strategist-n	market strategist	n
oewn-market_town-n	market town	n
oewn-market_value-n	market value	n
oewn-market-n		
oewn-market-v		
oewn-marketable_yield-n	marketable yield	n
oewn-marketable-a	marketable	a
oewn-marketer-n	marketer	n
oewn-marketing_cost-n	marketing cost	n
oewn-marketing_information-n	marketing information	n
oewn-marketing_research-n	marketing research	n
oewn-marketing-n	marketing	n
oewn-marketplace-n	marketplace	n
oewn-markhoor-n	markhoor	n
oewn-markhor-n		
oewn-marking_ink-n	marking ink	n
oewn-marking-n		
oewn-markka-n	markka	n
oewn-Markoff_chain-n	Markoff chain	n
oewn-Markoff_process-n	Markoff process	n
oewn-Markov_chain-n	Markov chain	n
oewn-Markov_process-n	Markov process	n
oewn-Markovian-a		
oewn-marksman-n		
oewn-marksmanship-n		
oewn-markswoman-n	markswoman	n
oewn-markup_language-n	markup language	n
oewn-markup-n		
oewn-markweed-n	markweed	n
oewn-marl-n	marl	n
oewn-marlberry-n	marlberry	n
oewn-marlin-n	marlin	n
oewn-marline-n	marline	n
oewn-marlinespike-n	marlinespike	n
oewn-marlingspike-n	marlingspike	n
oewn-marlinspike-n	marlinspike	n
oewn-marlite-n		
oewn-marlstone-n	marlstone	n
oewn-marly-a	marly	a
oewn-marmalade_box-n	marmalade box	n
oewn-marmalade_bush-n	marmalade bush	n
oewn-marmalade_orange-n	marmalade orange	n
oewn-marmalade_plum-n	marmalade plum	n
oewn-marmalade_tree-n	marmalade tree	n
oewn-marmalade-n		
oewn-marmite-n		
oewn-marmoreal-a		
oewn-marmorean-a	marmorean	a
oewn-marmoset-n		
oewn-marmot-n		
oewn-Marmota_caligata-n	Marmota caligata	n
oewn-Marmota_flaviventris-n	Marmota flaviventris	n
oewn-Marmota_monax-n	Marmota monax	n
oewn-Maroc-a	Maroc	a
oewn-marocain-n		
oewn-maroon-a	maroon	a
oewn-maroon-n	maroon	n
oewn-maroon-purple-a	maroon-purple	a
oewn-maroon-spotted-a	maroon-spotted	a
oewn-maroon-v	maroon	v
oewn-marooned-a	marooned	a
oewn-Marplan-n	Marplan	n
oewn-marque-n		
oewn-marquee-n		
oewn-marquess-n		
oewn-marqueterie-n	marqueterie	n
oewn-marquetry-n		
oewn-marquis-n		
oewn-marquise-n	marquise	n
oewn-Marrano-n		
oewn-marred-a		
oewn-marri-n	marri	n
oewn-marriage_bed-n	marriage bed	n
oewn-marriage_broker-n	marriage broker	n
oewn-marriage_brokerage-n	marriage brokerage	n
oewn-marriage_ceremony-n	marriage ceremony	n
oewn-marriage_contract-n	marriage contract	n
oewn-marriage_counseling-n	marriage counseling	n
oewn-marriage_licence-n	marriage licence	n
oewn-marriage_license-n	marriage license	n
oewn-marriage_mart-n	marriage mart	n
oewn-marriage_of_convenience-n	marriage of convenience	n
oewn-marriage_offer-n	marriage offer	n
oewn-marriage_proposal-n	marriage proposal	n
oewn-marriage_settlement-n	marriage settlement	n
oewn-marriage-n		
oewn-marriageability-n	marriageability	n
oewn-marriageable-a	marriageable	a
oewn-married_couple-n	married couple	n
oewn-married_man-n	married man	n
oewn-married_person-n	married person	n
oewn-married_woman-n	married woman	n
oewn-married-a		
oewn-married-n		
oewn-marrow_squash-n	marrow squash	n
oewn-marrow-n		
oewn-marrowbone-n	marrowbone	n
oewn-marrowfat_pea-n	marrowfat pea	n
oewn-Marrubium_vulgare-n	Marrubium vulgare	n
oewn-marry-v	marry	v
oewn-Marsala-n	Marsala	n
oewn-marseille-n	marseille	n
oewn-Marseilles_fever-n	Marseilles fever	n
oewn-marsh_andromeda-n	marsh andromeda	n
oewn-marsh_bellflower-n	marsh bellflower	n
oewn-marsh_buggy-n	marsh buggy	n
oewn-marsh_clematis-n	marsh clematis	n
oewn-marsh_cress-n	marsh cress	n
oewn-marsh_elder-n	marsh elder	n
oewn-marsh_felwort-n	marsh felwort	n
oewn-marsh_fern-n	marsh fern	n
oewn-marsh_gas-n	marsh gas	n
oewn-marsh_gentian-n	marsh gentian	n
oewn-marsh_hare-n	marsh hare	n
oewn-marsh_harrier-n	marsh harrier	n
oewn-marsh_hawk-n	marsh hawk	n
oewn-marsh_hen-n	marsh hen	n
oewn-marsh_horsetail-n	marsh horsetail	n
oewn-marsh_mallow-n	marsh mallow	n
oewn-marsh_marigold-n	marsh marigold	n
oewn-marsh_milkweed-n	marsh milkweed	n
oewn-marsh_orchid-n	marsh orchid	n
oewn-marsh_pea-n	marsh pea	n
oewn-marsh_pink-n	marsh pink	n
oewn-marsh_plant-n	marsh plant	n
oewn-marsh_rosemary-n	marsh rosemary	n
oewn-marsh_St-John-ap-s_wort-n	marsh St-John's wort	n
oewn-marsh_tea-n	marsh tea	n
oewn-marsh_trefoil-n	marsh trefoil	n
oewn-marsh_wren-n	marsh wren	n
oewn-marsh-n		
oewn-marshal-n		
oewn-marshal-v		
oewn-marshall-n	marshall	n
oewn-marshalling_yard-n	marshalling yard	n
oewn-Marshals-n	Marshals	n
oewn-marshalship-n	marshalship	n
oewn-marshland-n	marshland	n
oewn-marshmallow_fluff-n	marshmallow fluff	n
oewn-marshmallow-n		
oewn-marshy-a		
oewn-Marsilea_drummondii-n	Marsilea drummondii	n
oewn-Marsilea_quadrifolia-n	Marsilea quadrifolia	n
oewn-marsupial_mole-n	marsupial mole	n
oewn-marsupial_mouse-n	marsupial mouse	n
oewn-marsupial_rat-n	marsupial rat	n
oewn-marsupial-a		
oewn-marsupial-n		
oewn-marsupium-n	marsupium	n
oewn-mart-n	mart	n
oewn-martagon-n	martagon	n
oewn-martello_tower-n	martello tower	n
oewn-marten_cat-n	marten cat	n
oewn-marten-n	marten	n
oewn-martensite-n	martensite	n
oewn-Martes_americana-n	Martes americana	n
oewn-Martes_foina-n	Martes foina	n
oewn-Martes_martes-n	Martes martes	n
oewn-Martes_pennanti-n	Martes pennanti	n
oewn-Martes_zibellina-n	Martes zibellina	n
oewn-martial_art-n	martial art	n
oewn-martial_law-n	martial law	n
oewn-martial_music-n	martial music	n
oewn-martial-a		
oewn-martially-r	martially	r
oewn-Martian-a		
oewn-Martian-n		
oewn-Martin_Luther_King_Day-n	Martin Luther King Day	n
oewn-Martin_Luther_King_Jr-ap-s_Birthday-n	Martin Luther King Jr's Birthday	n
oewn-martin-n	martin	n
oewn-martinet-n	martinet	n
oewn-martingale-n	martingale	n
oewn-martini-n		
oewn-Martinmas-n	Martinmas	n
oewn-Martynia_annua-n	Martynia annua	n
oewn-Martynia_arenaria-n	Martynia arenaria	n
oewn-Martynia_fragrans-n	Martynia fragrans	n
oewn-martynia-n	martynia	n
oewn-martyr_operation-n	martyr operation	n
oewn-martyr-n		
oewn-martyr-v		
oewn-martyrdom-n		
oewn-martyrise-v	martyrise	v
oewn-martyrize-v	martyrize	v
oewn-marum-n	marum	n
oewn-marumi_kumquat-n	marumi kumquat	n
oewn-marumi-n	marumi	n
oewn-marupa-n	marupa	n
oewn-Marut-n	Marut	n
oewn-marvel-n		
oewn-marvel-of-Peru-n	marvel-of-Peru	n
oewn-marvel-v		
oewn-marveller-n	marveller	n
oewn-marvellous-a		
oewn-marvellously-r		
oewn-marvelous-a		
oewn-marvelously-r	marvelously	r
oewn-Marxism-Leninism-n	Marxism-Leninism	n
oewn-Marxism-n	Marxism	n
oewn-Marxist-a		
oewn-Marxist-Leninist-a	Marxist-Leninist	a
oewn-Marxist-n		
oewn-Mary_Jane-n	Mary Jane	n
oewn-Maryland_chicken-n	Maryland chicken	n
oewn-Maryland_golden_aster-n	Maryland golden aster	n
oewn-Maryland_yellowthroat-n	Maryland yellowthroat	n
oewn-Marylander-n	Marylander	n
oewn-marzipan-n		
oewn-Masa-n	Masa	n
oewn-Masai_language-n	Masai language	n
oewn-Masai-n	Masai	n
oewn-mascara-n		
oewn-mascarene_grass-n	mascarene grass	n
oewn-mascarpone-n		
oewn-mascot-n		
oewn-masculine_declension-n	masculine declension	n
oewn-masculine_rhyme-n	masculine rhyme	n
oewn-masculine-a		
oewn-masculine-n		
oewn-masculinisation-n	masculinisation	n
oewn-masculinise-v	masculinise	v
oewn-masculinity-n	masculinity	n
oewn-masculinization-n	masculinization	n
oewn-masculinize-v	masculinize	v
oewn-masdevallia-n	masdevallia	n
oewn-maser-n	maser	n
oewn-mash_bean-n	mash bean	n
oewn-mash-n		
oewn-mash-v	mash	v
oewn-mashed_potato-n	mashed potato	n
oewn-masher-n	masher	n
oewn-Mashi_language-n	Mashi language	n
oewn-Mashi-n	Mashi	n
oewn-mashie_niblick-n	mashie niblick	n
oewn-mashie-n	mashie	n
oewn-masjid-n		
oewn-mask_of_pregnancy-n	mask of pregnancy	n
oewn-mask-n	mask	n
oewn-mask-v	mask	v
oewn-masked_ball-n	masked ball	n
oewn-masked_shrew-n	masked shrew	n
oewn-masked-a		
oewn-masker-n	masker	n
oewn-masking_paper-n	masking paper	n
oewn-masking_piece-n	masking piece	n
oewn-masking_tape-n	masking tape	n
oewn-masking-n	masking	n
oewn-masochism-n		
oewn-masochist-n		
oewn-masochistic-a	masochistic	a
oewn-masochistically-r	masochistically	r
oewn-mason_bee-n	mason bee	n
oewn-Mason_jar-n	Mason jar	n
oewn-mason_wasp-n	mason wasp	n
oewn-mason-ap-s_level-n	mason's level	n
oewn-mason-ap-s_trowel-n	mason's trowel	n
oewn-mason-n		
oewn-Mason-n		
oewn-masonic-a		
oewn-Masonic-a		
oewn-Masonite-n	Masonite	n
oewn-masonry-n		
oewn-Masonry-n		
oewn-Masora-n	Masora	n
oewn-Masorah-n	Masorah	n
oewn-Masorete-n	Masorete	n
oewn-Masoretic-a		
oewn-Masorite-n	Masorite	n
oewn-masque-n		
oewn-masquer-n	masquer	n
oewn-masquerade_ball-n	masquerade ball	n
oewn-masquerade_costume-n	masquerade costume	n
oewn-masquerade_party-n	masquerade party	n
oewn-masquerade-n		
oewn-masquerade-v		
oewn-masquerader-n	masquerader	n
oewn-mass_action-n	mass action	n
oewn-Mass_card-n	Mass card	n
oewn-mass_culture-n	mass culture	n
oewn-mass_defect-n	mass defect	n
oewn-mass_deficiency-n	mass deficiency	n
oewn-mass_energy-n	mass energy	n
oewn-mass_hysteria-n	mass hysteria	n
oewn-mass_medium-n	mass medium	n
oewn-mass_meeting-n	mass meeting	n
oewn-mass_murder-n	mass murder	n
oewn-mass_murderer-n	mass murderer	n
oewn-mass_noun-n	mass noun	n
oewn-mass_number-n	mass number	n
oewn-mass_production-n	mass production	n
oewn-mass_rapid_transit-n	mass rapid transit	n
oewn-mass_spectrograph-n	mass spectrograph	n
oewn-mass_spectrometer-n	mass spectrometer	n
oewn-mass_spectroscopic-a	mass spectroscopic	a
oewn-mass_spectroscopy-n	mass spectroscopy	n
oewn-mass_spectrum-n	mass spectrum	n
oewn-mass_unit-n	mass unit	n
oewn-mass-a		
oewn-mass-action_principle-n	mass-action principle	n
oewn-mass-energy_equivalence-n	mass-energy equivalence	n
oewn-mass-n		
oewn-Mass-n		
oewn-mass-produce-v	mass-produce	v
oewn-mass-produced-a	mass-produced	a
oewn-mass-spectrometric-a	mass-spectrometric	a
oewn-mass-v		
oewn-Massachuset_language-n	Massachuset language	n
oewn-Massachuset-n	Massachuset	n
oewn-Massachusetts_fern-n	Massachusetts fern	n
oewn-Massachusetts_language-n	Massachusetts language	n
oewn-Massachusetts-n	Massachusetts	n
oewn-massacre-n		
oewn-massacre-v		
oewn-massage_parlor-n	massage parlor	n
oewn-massage-n		
oewn-massage-v		
oewn-massager-n	massager	n
oewn-massasauga_rattler-n	massasauga rattler	n
oewn-massasauga-n		
oewn-masse_shot-n	masse shot	n
oewn-masse-n	masse	n
oewn-massed_fire-n	massed fire	n
oewn-masses-n		
oewn-masseter-n		
oewn-masseur-n		
oewn-masseuse-n		
oewn-massicot-n		
oewn-massicotite-n	massicotite	n
oewn-massif-n		
oewn-massive-a		
oewn-massively-r	massively	r
oewn-massiveness-n	massiveness	n
oewn-Massorete-n	Massorete	n
oewn-mast_cell-n	mast cell	n
oewn-mast-n	mast	n
oewn-mastaba-n		
oewn-mastabah-n	mastabah	n
oewn-mastalgia-n	mastalgia	n
oewn-mastectomy-n	mastectomy	n
oewn-masted-a	masted	a
oewn-master_bedroom-n	master bedroom	n
oewn-master_class-n	master class	n
