upos	xpos	count
ADP	DEM_PRON_MS	1
ADP	DET+ADJ_NUM+CASE_DEF_ACC	1
ADP	DET+ADJ_NUM+CASE_DEF_GEN	1
ADP	DET+ADJ+NSUFF_MASC_DU_ACC	1
ADP	DET+NOUN_QUANT+CASE_DEF_ACC	1
ADP	DET+NOUN+CASE_DEF_ACC	1
ADP	DET+NOUN+NSUFF_MASC_PL_ACC	1
ADP	DET+NOUN+NSUFF_MASC_PL_GEN	1
ADP	DET+NOUN+NSUFF_MASC_PL_NOM	1
ADP	IV1S+IV+IVSUFF_MOOD:I	1
ADP	IV1S+IV+IVSUFF_MOOD:J	1
ADP	IV3FS+IV+IVSUFF_MOOD:J	1
ADP	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I	1
ADP	IV3MS+IV+IVSUFF_MOOD:S	1
ADP	IVSUFF_DO:3MP	1
ADP	NEG_PART	1
ADP	NOUN	1
ADP	NOUN_NUM	1
ADP	NOUN_PROP+CASE_DEF_ACC	1
ADP	NOUN_PROP+CASE_INDEF_GEN	1
ADP	NOUN_PROP+NSUFF_FEM_SG	1
ADP	NOUN_QUANT+CASE_INDEF_ACC	1
ADP	NOUN+CASE_DEF_NOM	1
ADP	NOUN+CASE_INDEF_NOM	1
ADP	NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	1
ADP	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	1
ADP	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	1
ADP	NOUN+NSUFF_FEM_SG+CASE_INDEF_NOM	1
ADP	NOUN+NSUFF_MASC_PL_GEN	1
ADP	NOUN+NSUFF_MASC_PL_GEN_POSS	1
ADP	POSS_PRON_1S	1
ADP	POSS_PRON_2FS	1
ADP	POSS_PRON_2MP	1
ADP	POSS_PRON_3D	1
ADP	PRON_1P	1
ADP	PRON_1S	1
ADP	PV+PVSUFF_SUBJ:1P	1
ADP	PV+PVSUFF_SUBJ:3FP	1
ADP	REL_PRON	1
ADP	VERB	1
ADV	DEM_PRON	1
ADV	EMPHATIC_PART	1
ADV	NOUN_NUM	1
ADV	NOUN_PROP+CASE_DEF_NOM	1
ADV	NOUN_PROP+CASE_INDEF_NOM	1
ADV	PV+PVSUFF_SUBJ:3FS	1
ADV	PV+PVSUFF_SUBJ:3MP	1
ADV	RC_PART	1
ADV	REL_PRON	1
AUX	ABBREV	1
AUX	CV+CVSUFF_SUBJ:2FS	1
AUX	DEM_PRON_MS	1
AUX	DET+ADJ_NUM	1
AUX	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	1
AUX	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	1
AUX	DET+NOUN+CASE_DEF_GEN	1
AUX	DET+NOUN+CASE_DEF_NOM	1
AUX	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	1
AUX	DET+NOUN+NSUFF_MASC_PL_GEN	1
AUX	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	1
AUX	IV2MS+IV+IVSUFF_MOOD:J	1
AUX	IV3FD+IV+IVSUFF_SUBJ:D_MOOD:I	1
AUX	IV3FD+IV+IVSUFF_SUBJ:D_MOOD:SJ	1
AUX	NOUN_PROP	1
AUX	NOUN_PROP+CASE_INDEF_GEN	1
AUX	NOUN_QUANT+CASE_INDEF_ACC	1
CCONJ	ADJ_COMP	1
CCONJ	ADJ+CASE_INDEF_NOM	1
CCONJ	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	1
CCONJ	ADV	1
CCONJ	CV+CVSUFF_SUBJ:2MP	1
CCONJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	1
CCONJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
CCONJ	DET+NOUN+NSUFF_MASC_PL_GEN	1
CCONJ	NOUN	1
CCONJ	NOUN_NUM	1
CCONJ	NOUN_NUM+CASE_DEF_GEN	1
CCONJ	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	1
CCONJ	NOUN_PROP+CASE_DEF_ACC	1
CCONJ	NOUN_PROP+CASE_DEF_NOM	1
CCONJ	NOUN+CASE_DEF_GEN	1
CCONJ	NOUN+CASE_DEF_NOM	1
CCONJ	NOUN+CASE_INDEF_ACC	1
CCONJ	NOUN+CASE_INDEF_GEN	1
CCONJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	1
CCONJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	1
CCONJ	NOUN+NSUFF_MASC_PL_NOM	1
CCONJ	PART	1
CCONJ	POSS_PRON_2MP	1
CCONJ	POSS_PRON_3MS	1
CCONJ	PRON_3FS	1
CCONJ	PV+PVSUFF_SUBJ:3MD	1
CCONJ	PV+PVSUFF_SUBJ:3MP	1
DET	ADJ+NSUFF_FEM_SG	1
DET	DEM_PRON_FS	1
DET	DET+NOUN_PROP+CASE_DEF_NOM	1
DET	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	1
DET	IV3MS+IV+IVSUFF_MOOD:I	1
DET	IV3MS+IV+IVSUFF_MOOD:J	1
DET	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	1
DET	PV+PVSUFF_SUBJ:3MS	1
DET	TyPO	1
INTJ	DEM_PRON	1
INTJ	NOUN	1
INTJ	NOUN+CASE_INDEF_GEN	1
NOUN	ABBREV	1
NOUN	ADJ_COMP+CASE_INDEF_ACC	1
NOUN	ADJ_NUM+CASE_DEF_ACC	1
NOUN	ADJ_NUM+CASE_INDEF_NOM	1
NOUN	ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	1
NOUN	ADJ_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC	1
NOUN	ADJ+NSUFF_FEM_DU_NOM	1
NOUN	ADJ+NSUFF_FEM_PL+CASE_INDEF_NOM	1
NOUN	ADV	1
NOUN	CONNEC_PART	1
NOUN	CVSUFF_DO:3MS	1
NOUN	DET+ADJ_COMP+CASE_DEF_NOM	1
NOUN	DET+NOUN_NUM+NSUFF_FEM_DU_NOM	1
NOUN	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_ACC	1
NOUN	DET+NOUN_NUM+NSUFF_FEM_PL+CASE_DEF_NOM	1
NOUN	DET+NOUN_NUM+NSUFF_MASC_DU_NOM	1
NOUN	DET+NOUN_PROP+CASE_DEF_GEN	1
NOUN	DET+NOUN_PROP+CASE_DEF_NOM	1
NOUN	DET+NOUN_PROP+NSUFF_MASC_PL_NOM	1
NOUN	DET+NOUN+NSUFF_MASC_DU_NOM_POSS	1
NOUN	DET+NOUN+NSUFF_MASC_PL_GEN_POSS	1
NOUN	FUT_PART	1
NOUN	INTERJ	1
NOUN	IV1P+IV+IVSUFF_MOOD:S	1
NOUN	IV1S+IV+IVSUFF_MOOD:I	1
NOUN	IV1S+IV+IVSUFF_MOOD:J	1
NOUN	IV1S+IV+IVSUFF_MOOD:S	1
NOUN	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ	1
NOUN	IV2MS+IV+IVSUFF_MOOD:J	1
NOUN	IV2MS+IV+IVSUFF_MOOD:S	1
NOUN	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I	1
NOUN	IV3MS+IV+IVSUFF_MOOD:J	1
NOUN	NOUN_NUM+NSUFF_FEM_DU_GEN	1
NOUN	NOUN_NUM+NSUFF_FEM_DU_GEN_POSS	1
NOUN	NOUN_NUM+NSUFF_FEM_PL+CASE_INDEF_NOM	1
NOUN	NOUN_NUM+NSUFF_MASC_DU_ACC	1
NOUN	NOUN_NUM+NSUFF_MASC_DU_ACC_POSS	1
NOUN	NOUN_NUM+NSUFF_MASC_PL_NOM	1
NOUN	NOUN_PROP+CASE_DEF_ACC	1
NOUN	NOUN_PROP+CASE_DEF_GEN	1
NOUN	NOUN_PROP+NSUFF_FEM_SG	1
NOUN	NOUN_QUANT+NSUFF_MASC_DU_GEN	1
NOUN	POSS_PRON_1P	1
NOUN	PRON_1S	1
NOUN	PRON_3MP	1
NOUN	PV+PVSUFF_SUBJ:1P	1
NOUN	PV+PVSUFF_SUBJ:1S	1
NOUN	PVSUFF_DO:3FS	1
NOUN	VERB_PART	1
NUM	ABBREV	1
NUM	DET	1
NUM	DET+NOUN_NUM+NSUFF_FEM_DU_ACC	1
NUM	DET+NOUN_NUM+NSUFF_FEM_DU_GEN_POSS	1
NUM	DET+NOUN_NUM+NSUFF_MASC_DU_ACC	1
NUM	DET+NOUN_NUM+NSUFF_MASC_DU_GEN_POSS	1
NUM	DET+NOUN_NUM+NSUFF_MASC_PL_NOM	1
NUM	DET+NOUN_PROP+CASE_DEF_GEN	1
NUM	IV3MS+IV+IVSUFF_MOOD:S	1
NUM	NOUN_NUM+NSUFF_FEM_DU_GEN	1
NUM	NOUN_NUM+NSUFF_MASC_PL_ACC_POSS	1
NUM	NOUN_PROP	1
NUM	NOUN_QUANT+CASE_DEF_NOM	1
NUM	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	1
NUM	NUMERIC_COMMA	1
NUM	POSS_PRON_3D	1
NUM	POSS_PRON_3MS	1
NUM	PRON_3FS	1
NUM	PRON_3MS	1
NUM	PV+PVSUFF_SUBJ:3MS	1
PART	ADJ+CASE_INDEF_ACC	1
PART	NOUN_PROP+CASE_DEF_GEN	1
PART	NOUN_QUANT+CASE_DEF_GEN	1
PART	NOUN+CASE_INDEF_GEN	1
PART	NOUN+NSUFF_MASC_PL_NOM	1
PART	POSS_PRON_3MS	1
PART	PRON_3MP	1
PRON	ADJ+CASE_DEF_GEN	1
PRON	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	1
PRON	ADJ+NSUFF_MASC_DU_ACC	1
PRON	CVSUFF_DO:1S	1
PRON	DEM_PRON_MS	1
PRON	DET+ADJ_NUM+CASE_DEF_GEN	1
PRON	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_GEN	1
PRON	DET+NOUN_PROP	1
PRON	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	1
PRON	IV1P+IV+IVSUFF_MOOD:I	1
PRON	IV3FS+IV+IVSUFF_MOOD:I	1
PRON	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ	1
PRON	IVSUFF_DO:2FS	1
PRON	NOUN_NUM	1
PRON	NOUN_QUANT+CASE_INDEF_ACC	1
PRON	NOUN_QUANT+NSUFF_FEM_SG+CASE_DEF_GEN	1
PRON	NOUN+CASE_INDEF_GEN	1
PRON	NOUN+NSUFF_FEM_PL+CASE_DEF_ACC	1
PRON	NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	1
PRON	NOUN+NSUFF_FEM_PL+CASE_DEF_NOM	1
PRON	NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
PRON	NOUN+NSUFF_MASC_DU_NOM_POSS	1
PRON	POSS_PRON_2D	1
PRON	PRON_2FP	1
PRON	PSEUDO_VERB	1
PRON	PV+PVSUFF_SUBJ:3MP	1
PRON	PVSUFF_DO:2FS	1
PRON	REL_PRON+CASE_DEF_ACC	1
PRON	REL_PRON+CASE_DEF_NOM	1
PRON	REL_PRON+NSUFF_FEM_SG+CASE_DEF_GEN	1
PROPN	ADJ_COMP+NSUFF_MASC_DU_ACC_POSS	1
PROPN	ADJ+CASE_DEF_ACC	1
PROPN	ADJ+CASE_DEF_GEN	1
PROPN	ADJ+NSUFF_FEM_DU_NOM_POSS	1
PROPN	ADJ+NSUFF_FEM_PL	1
PROPN	ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC	1
PROPN	ADJ+NSUFF_FEM_SG+CASE_INDEF_NOM	1
PROPN	ADJ+NSUFF_MASC_PL_ACC	1
PROPN	DEM_PRON_MS	1
PROPN	DET+ADJ+NSUFF_MASC_PL_ACC	1
PROPN	DET+ADJ+NSUFF_MASC_PL_ACC_POSS	1
PROPN	DET+ADJ+NSUFF_MASC_PL_NOM	1
PROPN	DET+NOUN_PROP+NSUFF_FEM_PL	1
PROPN	DET+NOUN_PROP+NSUFF_FEM_PL+CASE_DEF_GEN	1
PROPN	DET+NOUN_PROP+NSUFF_MASC_PL_NOM	1
PROPN	DET+NOUN+CASE_DEF_ACC	1
PROPN	DET+NOUN+NSUFF_FEM_PL+CASE_DEF_GEN	1
PROPN	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
PROPN	FUNC_WORD	1
PROPN	IV1P+IV_PASS+IVSUFF_MOOD:I	1
PROPN	IV1S+IV_PASS+IVSUFF_MOOD:I	1
PROPN	IV1S+IV_PASS+IVSUFF_MOOD:J	1
PROPN	IV2D+IV_PASS+IVSUFF_SUBJ:D_MOOD:I	1
PROPN	IV2D+IV+IVSUFF_SUBJ:D_MOOD:SJ	1
PROPN	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:I	1
PROPN	IV2MS+IV_PASS+IVSUFF_MOOD:J	1
PROPN	IV2MS+IV+IVSUFF_MOOD:I	1
PROPN	IV3MP+IV_PASS+IVSUFF_SUBJ:MP_MOOD:I	1
PROPN	IV3MS+IV_PASS+IVSUFF_MOOD:S	1
PROPN	IV3MS+IV+IVSUFF_MOOD:I	1
PROPN	NOUN_NUM	1
PROPN	NOUN_PROP+NSUFF_FEM_PL+CASE_DEF_GEN	1
PROPN	NOUN_PROP+NSUFF_FEM_SG+CASE_INDEF_ACC	1
PROPN	NOUN_PROP+NSUFF_MASC_DU_ACC_POSS	1
PROPN	NOUN_PROP+NSUFF_MASC_PL_GEN_POSS	1
PROPN	NOUN+CASE_INDEF_GEN	1
PROPN	NOUN+NSUFF_FEM_DU_ACC	1
PROPN	NOUN+NSUFF_FEM_DU_NOM	1
PROPN	NOUN+NSUFF_FEM_PL+CASE_INDEF_GEN	1
PROPN	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	1
PROPN	NOUN+NSUFF_MASC_PL_NOM	1
PROPN	PV_PASS+PVSUFF_SUBJ:3MS	1
PROPN	PVSUFF_DO:1S	1
PROPN	PVSUFF_DO:2MS	1
PROPN	PVSUFF_DO:3FS	1
PROPN	VOC_PART	1
PUNCT	ADJ_NUM+CASE_INDEF_GEN	1
PUNCT	ADJ+CASE_INDEF_ACC	1
PUNCT	ADJ+NSUFF_FEM_SG+CASE_INDEF_NOM	1
PUNCT	DEM_PRON_MS	1
PUNCT	DET+ADJ_NUM+NSUFF_FEM_SG+CASE_DEF_NOM	1
PUNCT	DET+ADJ+CASE_DEF_ACC	1
PUNCT	DET+ADJ+CASE_DEF_NOM	1
PUNCT	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	1
PUNCT	DET+ADJ+NSUFF_MASC_PL_NOM	1
PUNCT	DET+NOUN_NUM+NSUFF_FEM_SG+CASE_DEF_GEN	1
PUNCT	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
PUNCT	DET+NOUN+NSUFF_MASC_DU_GEN	1
PUNCT	FOREIGN	1
PUNCT	IV1P+IV+IVSUFF_MOOD:J	1
PUNCT	IV1P+IV+IVSUFF_MOOD:S	1
PUNCT	IV1S+IV+IVSUFF_MOOD:I	1
PUNCT	IV3MS+IV+IVSUFF_MOOD:I	1
PUNCT	JUS_PART	1
PUNCT	NOUN_NUM+NSUFF_FEM_SG+CASE_INDEF_NOM	1
PUNCT	NOUN_PROP+CASE_DEF_ACC	1
PUNCT	NOUN_PROP+NSUFF_FEM_SG+CASE_DEF_ACC	1
PUNCT	NOUN+CASE_DEF_ACC	1
PUNCT	NOUN+CASE_INDEF_NOM	1
PUNCT	NOUN+NSUFF_FEM_SG+CASE_DEF_ACC	1
PUNCT	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN	1
PUNCT	NOUN+NSUFF_FEM_SG+CASE_INDEF_GEN	1
PUNCT	NOUN+NSUFF_MASC_PL_GEN_POSS	1
PUNCT	NUMERIC_COMMA	1
PUNCT	POSS_PRON_1P	1
PUNCT	POSS_PRON_1S	1
PUNCT	POSS_PRON_2MP	1
PUNCT	POSS_PRON_2MS	1
PUNCT	PRON_1S	1
PUNCT	PV+PVSUFF_SUBJ:1S	1
PUNCT	SUB_CONJ	1
SCONJ	ABBREV	1
SCONJ	CONNEC_PART	1
SCONJ	DEM_PRON_MS	1
SCONJ	DET+NOUN+CASE_DEF_NOM	1
SCONJ	DET+NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
SCONJ	IV2MS+IV+IVSUFF_MOOD:J	1
SCONJ	IV3MS+IV_PASS+IVSUFF_MOOD:I	1
SCONJ	IV3MS+IV+IVSUFF_MOOD:I	1
SCONJ	NOUN	1
SCONJ	NOUN_NUM+CASE_DEF_GEN	1
SCONJ	NOUN+CASE_DEF_ACC	1
SCONJ	NOUN+CASE_INDEF_ACC	1
SCONJ	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC	1
SCONJ	PART	1
SCONJ	POSS_PRON_2MP	1
SCONJ	PRON_1S	1
SCONJ	PRON_3MP	1
SCONJ	PRON_3MS	1
SCONJ	PV+PVSUFF_SUBJ:3MS	1
VERB	ADJ	1
VERB	ADJ_COMP+CASE_DEF_ACC	1
VERB	ADJ_COMP+CASE_DEF_NOM	1
VERB	ADJ+CASE_DEF_ACC	1
VERB	ADJ+NSUFF_MASC_PL_ACC_POSS	1
VERB	DEM_PRON_MS	1
VERB	DET+ADJ_NUM	1
VERB	DET+ADJ+NSUFF_FEM_SG+CASE_DEF_ACC	1
VERB	DET+NOUN_QUANT+CASE_DEF_NOM	1
VERB	INTERROG_ADV	1
VERB	IV1P+IV_PASS+IVSUFF_MOOD:S	1
VERB	IVSUFF_DO:1S	1
VERB	IVSUFF_DO:3MS	1
VERB	NOUN_QUANT+CASE_DEF_ACC	1
VERB	NOUN+CASE_INDEF_ACC	1
VERB	NOUN+CASE_INDEF_GEN	1
VERB	NOUN+CASE_INDEF_NOM	1
VERB	NOUN+NSUFF_FEM_SG	1
VERB	NOUN+NSUFF_FEM_SG+CASE_DEF_NOM	1
VERB	NOUN+NSUFF_MASC_DU_ACC_POSS	1
VERB	POSS_PRON_1P	1
VERB	POSS_PRON_2MP	1
VERB	POSS_PRON_3FS	1
VERB	PRON_3MS	1
VERB	PVSUFF_DO:3FS	1
X	ADJ_NUM	1
X	ADJ+CASE_DEF_ACC	1
X	ADJ+CASE_DEF_GEN	1
X	ADJ+CASE_INDEF_ACC	1
X	ADJ+NSUFF_MASC_PL_ACC_POSS	1
X	ADJ+NSUFF_MASC_PL_NOM	1
X	DEM_PRON_F	1
X	DET+ADJ+NSUFF_MASC_DU_ACC_POSS	1
X	DET+ADJ+NSUFF_MASC_DU_NOM	1
X	DET+NOUN_PROP+NSUFF_FEM_SG	1
X	DET+NOUN+CASE_DEF_ACC	1
X	DET+NOUN+CASE_DEF_NOM	1
X	DET+NOUN+NSUFF_MASC_PL_ACC	1
X	FUT_PART	1
X	IV1P+IV+IVSUFF_MOOD:J	1
X	IV1S+IV_PASS+IVSUFF_MOOD:S	1
X	IV1S+IV+IVSUFF_MOOD:I	1
X	IV2D+IV+IVSUFF_SUBJ:D_MOOD:SJ	1
X	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:I	1
X	IV2MS+IV+IVSUFF_MOOD:J	1
X	IV3FP+IV+IVSUFF_SUBJ:FP	1
X	IV3MS+IV+IVSUFF_MOOD:I	1
X	NOUN_NUM+CASE_INDEF_ACC	1
X	NOUN_QUANT	1
X	NOUN+NSUFF_FEM_DU_ACC	1
X	NOUN+NSUFF_FEM_DU_ACC_POSS	1
X	NOUN+NSUFF_FEM_DU_NOM	1
X	NOUN+NSUFF_MASC_DU_ACC_POSS	1
X	VOC_PART	1
